Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,3.0718,1.4550,3.5355,11.9994,8.8825,2.4116,22.2822,7.0217,3.5525,7.7269,5.4186,7.4955,6.0902,11.2172,7.5116,14.4881,5.9510,10.0972,6.4440
3.9062,2.7035,-1.1145,0.4271,9.7619,6.1662,-1.6806,7.7871,7.0597,3.8731,6.5595,1.1063,1.7449,1.8720,7.1309,3.6115,9.9609,3.4731,7.3638,1.1264
7.8125,1.4000,-3.9818,-4.5731,6.3439,2.1209,-5.7953,-18.0570,5.5734,3.3563,4.3238,-4.2080,-5.7784,-4.6635,2.5916,-1.5465,0.1747,-1.2614,3.5575,-5.6891
11.7188,1.3282,-5.0294,-8.8284,3.3124,-0.4701,-7.2258,-43.0386,3.3234,3.7836,2.8642,-7.8203,-11.8921,-9.5918,0.0167,-5.2067,-10.4472,-4.9932,1.0911,-10.5936
15.6250,4.0836,-2.7918,-9.7613,1.4334,0.3802,-4.7742,-53.8028,1.3448,6.5234,3.3880,-7.7161,-13.8275,-9.3301,0.4828,-5.1111,-16.5186,-4.5441,1.5289,-11.0310
19.5312,9.3346,2.5198,-6.5130,0.1749,4.3440,0.3346,-44.8135,0.2070,11.3565,5.5560,-3.7584,-10.7632,-3.0043,3.0790,-0.8786,-14.8978,0.9774,4.5470,-6.9018
23.4375,14.8430,8.8876,-0.6243,-1.7127,8.8784,5.2051,-22.3477,-0.2885,16.4133,7.7204,2.1999,-4.2905,6.8797,5.6890,5.6267,-6.5812,9.4330,8.2062,-0.5986
27.3438,17.8715,13.3675,4.7414,-5.0531,10.9386,7.1500,-0.4492,-0.7734,19.2678,8.0703,7.2940,2.4252,15.9391,6.5492,11.1880,3.8801,16.9344,10.2380,4.5182
31.2500,16.9292,13.4940,6.5638,-9.4850,9.0933,5.3381,8.3939,-1.6727,18.3675,5.7790,9.0875,6.2600,20.5496,5.3812,12.8973,10.9922,20.2559,9.3448,6.1352
35.1562,12.5790,8.4522,3.6218,-13.6844,4.5184,1.0753,1.2281,-2.8170,13.7946,1.3354,6.6571,5.5997,19.8209,3.2914,9.6474,11.2766,18.7104,5.6339,4.1585
39.0625,6.8057,-0.5670,-2.9287,-16.3419,0.1557,-3.3478,-14.2683,-3.6163,6.9444,-4.0496,0.8263,0.9179,15.6705,1.6340,2.6318,4.8395,14.2636,0.0894,0.3958
42.9688,1.5724,-10.9234,-10.2742,-17.0571,-1.3308,-6.2435,-25.9527,-3.6057,-0.4426,-9.3318,-6.3961,-5.7063,11.1508,0.8293,-5.3635,-5.1473,9.9694,-6.2543,-2.8297
46.8750,-2.2471,-19.6164,-15.3658,-16.4232,0.6840,-7.3268,-25.7736,-2.8530,-7.0475,-14.0522,-12.7226,-11.7169,8.3787,0.1020,-11.3920,-14.4297,7.9688,-12.6568,-4.0534
50.7812,-4.7985,-24.3333,-16.1460,-15.2881,4.5463,-7.2515,-14.4477,-1.8610,-12.0322,-18.0302,-16.3484,-15.1855,7.5378,-1.6867,-13.6465,-19.7687,8.4638,-18.3416,-3.1439
54.6875,-6.3088,-24.0329,-12.0189,-13.8909,7.6901,-6.4839,0.6284,-1.0610,-14.6137,-20.7743,-16.3270,-15.3802,7.4736,-4.8392,-11.9552,-20.0380,10.2050,-22.0211,-0.7887
58.5938,-6.2828,-18.9688,-3.6368,-11.6641,8.5349,-4.6186,11.8257,-0.3745,-13.8323,-21.3105,-12.6039,-12.6825,7.1663,-8.2618,-7.3749,-16.0573,11.8604,-22.0112,2.3672
62.5000,-3.6695,-10.3414,7.5215,-7.9039,7.5141,-0.7836,16.6464,0.7249,-8.9688,-18.7237,-5.8762,-8.0994,6.7887,-10.0304,-1.3354,-9.6663,13.0712,-17.1419,6.1672
66.4062,2.0824,0.1450,19.4186,-2.7301,6.5514,5.2335,18.0185,2.6641,-0.3640,-13.0153,2.6124,-2.7365,7.5312,-8.6715,5.0456,-2.7582,14.4251,-7.8696,10.7110
70.3125,10.0214,10.6475,29.6248,2.5352,7.4745,12.1946,20.0137,5.2072,10.1259,-5.5107,11.3429,2.5212,10.4314,-4.2077,11.1423,3.3101,16.5496,3.3727,15.8165
74.2188,17.7319,19.4497,35.7199,5.9910,10.5938,17.7860,23.2006,7.4096,19.6520,1.6404,18.8749,7.0952,15.2410,1.7819,16.6143,7.9340,19.2322,13.0995,20.7703
78.1250,22.5749,25.1945,36.0912,6.3738,14.4675,20.0183,23.8220,8.2101,25.7182,6.5946,24.2125,10.6823,20.2797,7.0826,21.1838,11.2627,21.3644,18.5279,24.6340
82.0312,23.2693,27.1125,30.8081,3.9340,16.9403,18.6081,17.4359,7.2318,27.4617,8.7494,27.0118,13.2185,23.4068,10.0536,24.6324,14.0249,21.7420,19.0137,26.8249
85.9375,20.6060,25.1924,21.9131,0.2722,16.6198,15.2293,3.7090,5.1435,25.9168,8.7831,27.4984,14.8457,23.3594,10.3201,26.9256,17.0887,20.0109,16.1641,27.4321
89.8438,16.7284,20.1944,12.6793,-2.7589,13.7215,12.3739,-11.9698,3.2533,23.0399,7.8109,26.1343,15.8178,20.4615,8.6114,28.1876,20.7844,16.9436,12.5509,26.9760
93.7500,13.5405,13.4584,6.0722,-4.2467,9.7682,11.6560,-21.6807,2.6165,20.2311,6.3882,23.2713,16.3227,16.2377,6.0526,28.4192,24.3350,13.8219,9.9648,25.8381
97.6562,11.4925,6.5650,3.3136,-4.6019,6.5007,12.8454,-20.5214,3.3451,17.5006,4.2105,19.0623,16.3117,12.3077,3.5138,27.2134,25.9132,11.4570,8.4681,23.9052
101.5625,9.6743,0.9856,3.5101,-4.8854,4.8585,14.3476,-10.0571,4.6526,13.9248,0.7632,13.7220,15.5030,9.4335,1.4183,23.8844,23.5782,9.6723,6.8694,20.7891
105.4688,7.0703,-2.1599,4.6282,-5.6767,4.7104,14.7068,3.0533,5.5751,8.9943,-3.6563,7.9281,13.6466,7.3816,-0.0494,18.1478,16.7123,7.6719,4.1536,16.4614
109.3750,3.8772,-2.2134,5.1362,-6.4356,5.3577,13.9071,12.0278,5.7583,3.7053,-7.4913,2.9783,10.9325,5.5804,-0.6924,10.9233,7.0248,4.9805,0.6887,11.7324
113.2812,1.7324,0.9769,5.1170,-5.8861,6.2621,13.4255,14.4484,5.6517,0.4046,-8.5847,0.4314,8.2442,3.9532,-0.2863,4.5011,-1.7531,2.1698,-1.7560,8.0809
117.1875,2.5958,7.0006,6.0248,-3.1094,7.3819,14.9967,12.7848,5.9588,1.3692,-5.5769,1.3282,6.9714,3.2344,1.2359,1.6120,-5.5952,0.7611,-1.1971,6.8618
121.0938,7.1450,14.8342,9.2766,1.5542,8.9303,19.0807,10.9388,6.8350,7.1293,0.9821,5.4594,8.3608,4.5344,3.6562,3.7793,-2.4234,2.3370,3.0888,8.4514
125.0000,13.9726,22.9074,14.7789,6.5493,10.8884,24.2604,10.1440,7.5711,15.8116,8.7034,11.2311,12.7370,8.5054,6.5856,10.0683,6.5526,7.4916,9.9318,11.9840
128.9062,20.2719,29.4102,20.5709,10.1013,12.7820,28.0633,7.9522,7.1115,24.0630,14.6670,16.3450,19.1051,14.7287,9.7323,17.2988,17.3696,15.3380,16.9384,15.8916
132.8125,23.5445,32.8337,23.9380,11.4049,13.9489,28.5915,1.1921,5.0482,28.9548,17.1003,18.9666,25.4743,21.7386,13.0385,21.8316,25.4888,23.8564,21.9466,18.8378
136.7188,23.0818,32.5470,23.2157,11.0920,14.0510,25.7385,-9.8400,2.2702,29.5568,16.2732,18.6620,29.7859,27.6282,16.5017,21.8218,28.2622,30.7882,24.1926,20.3387
140.6250,20.1734,29.0960,18.9495,10.6212,13.3441,21.1245,-19.9581,0.6468,27.1432,14.0267,16.4798,30.8994,30.8273,19.8010,18.3275,26.1014,34.4937,24.4052,20.6432
144.5312,16.9856,24.0015,13.5358,11.0723,12.4202,16.8797,-22.1936,1.8525,24.0127,12.3469,14.1030,29.0130,30.6145,22.0888,14.3846,21.6515,34.3559,23.8962,20.0578
148.4375,15.0422,19.0951,9.6004,12.2826,11.6149,14.2551,-13.2781,6.1451,21.8829,12.0526,12.6475,25.2661,27.1896,22.2401,12.6635,17.6551,30.7084,23.4463,18.3606
152.3438,14.4453,15.7126,8.3097,12.9921,10.6056,13.0803,2.9381,12.0190,21.0157,12.5044,11.9512,20.8426,21.4175,19.4911,13.4611,15.0879,24.5386,22.8475,14.8597
156.2500,14.2844,14.1721,8.8381,11.8829,8.6274,12.3412,17.2393,17.0577,20.5547,12.4197,10.8611,16.2459,14.4792,14.0519,14.5961,12.8745,17.2011,21.3544,9.0940
160.1562,13.7114,13.8019,9.3083,8.7171,5.2351,11.2549,21.0807,19.4383,19.5859,11.0453,8.2949,11.2757,7.5918,7.2250,13.3278,9.2764,10.1725,18.5505,1.6107
164.0625,12.6890,13.4609,8.4072,4.7095,1.0385,9.8892,12.5551,19.0520,17.9538,8.7378,4.2708,5.6781,1.8255,0.8859,8.7967,3.7772,4.7610,14.8578,-5.8627
167.9688,11.8199,12.2136,6.4086,1.8563,-2.2397,8.8544,-2.1941,17.4678,16.2072,6.5563,0.1092,-0.0970,-2.0192,-3.3666,3.0076,-2.0518,1.7658,11.2895,-11.0860
171.8750,11.5316,9.7763,4.8592,1.7154,-2.5867,8.4332,-13.2404,16.7929,14.8756,5.3021,-2.3675,-4.7093,-3.4839,-4.8434,-0.5082,-5.4113,1.2569,8.7276,-12.4042
175.7812,11.4733,6.5487,5.2601,4.5115,1.0679,8.0127,-13.7139,18.2485,13.8649,4.8749,-2.0396,-6.5539,-2.4517,-3.8075,0.6460,-4.2204,2.6844,7.3951,-9.5274
179.6875,10.7753,3.3263,7.8417,9.1574,8.0622,6.4193,-4.2708,21.4389,12.6143,4.5071,0.8178,-4.7979,0.9253,-0.9877,5.8642,1.3265,5.3205,6.9796,-3.4884
183.5938,9.0100,0.9461,11.3947,14.0778,16.2674,2.9596,7.8456,24.7451,10.9144,3.6599,4.8723,-0.0612,6.3022,3.0052,11.9903,8.7564,8.7485,7.2441,4.1108
187.5000,6.9850,0.0621,14.2282,18.1481,23.2908,-1.6840,14.1403,26.4624,9.6067,2.7614,8.7987,5.8000,13.1377,7.9023,15.7609,14.8461,13.0093,8.4889,11.9490
191.4062,6.5326,1.0604,15.4201,21.0436,27.8008,-5.5253,10.5334,25.8229,10.3721,3.0560,12.1883,10.7007,20.6075,13.5076,16.2677,17.5274,18.2511,11.3310,19.3169
195.3125,9.2526,3.9980,15.3424,22.8273,30.0335,-6.4073,-0.5405,23.2278,14.5420,5.5635,15.5499,13.4392,27.5588,19.2204,15.4237,16.8046,24.1401,15.8876,25.7986
199.2188,15.0867,8.4866,15.0933,23.2431,31.1246,-3.4421,-12.5400,19.6665,21.7465,9.9357,19.4181,14.1592,32.6666,23.8106,16.0461,14.1626,29.5448,21.0576,30.7292
203.1250,21.8819,13.6030,15.4014,21.4320,31.7994,2.2908,-19.3924,15.8975,29.5156,14.1944,23.3643,13.9019,34.8358,25.7271,19.1624,11.1275,32.8522,24.6564,33.0347
207.0312,26.4451,18.0067,15.9809,16.4378,31.4832,8.3312,-18.7951,12.0670,34.3590,15.7295,25.8388,13.6551,33.6789,23.8207,22.8414,8.2125,32.7961,24.5395,31.7165
210.9375,26.4735,20.3565,15.8966,8.1931,28.6222,12.3185,-12.3872,8.0067,33.7544,12.9626,25.1143,13.6368,29.7675,18.0366,23.6226,5.0298,29.2453,20.0272,26.6668
214.8438,22.0231,19.8833,14.5974,-1.7942,22.0846,13.3255,-3.5894,3.8704,27.7225,6.4938,20.6581,13.3040,24.4378,9.6259,19.4465,1.2877,23.3727,12.5670,19.1599
218.7500,15.4422,16.7897,12.6809,-10.7182,12.6083,12.1365,4.6311,0.4917,18.8598,-1.1571,13.8180,11.9826,19.2059,0.7136,11.6649,-2.3587,17.0530,5.0228,11.5423
222.6562,9.7889,12.1889,11.6637,-15.7211,3.0935,10.3593,10.4972,-0.9034,10.7492,-7.1078,7.1773,9.5509,15.1194,-6.5428,4.3798,-4.4573,11.8975,-0.0347,6.2137
226.5625,6.8555,7.5828,12.8775,-15.3879,-2.7143,9.1245,12.9361,0.5392,5.8252,-9.8902,2.9754,6.6243,12.4333,-10.7462,1.5204,-3.8332,8.5896,-1.8760,4.5155
230.4688,6.2120,4.1930,16.3771,-10.5176,-2.4172,8.3856,11.2887,4.6345,4.1573,-10.1750,1.7703,4.1400,10.7784,-11.6160,3.9488,-0.6468,6.9284,-1.8839,6.2212
234.3750,5.9095,2.5571,20.7701,-3.6387,3.4348,7.3146,6.0489,10.1059,3.9377,-9.9361,2.3702,2.7233,9.6514,-9.8097,8.9185,3.5416,6.4314,-2.3349,9.9023
238.2812,4.2481,2.5883,24.1358,2.4274,11.5092,5.3967,-0.1272,15.2070,3.2084,-10.7135,3.0600,2.3497,8.8431,-6.4165,12.3223,6.8468,6.9310,-4.5824,13.8492
242.1875,1.2241,3.9332,25.2998,6.0070,17.6150,3.2558,-2.7865,18.5809,1.4675,-12.3287,3.0926,2.5202,8.4977,-2.4631,11.9014,8.4213,8.6572,-8.0033,16.8963
246.0938,-1.4549,6.2548,24.4436,7.0991,19.1417,2.4539,1.8417,19.7680,-0.0636,-13.0710,3.1907,2.7270,8.8041,1.3251,8.8166,8.9593,11.7683,-10.5121,18.6667
250.0000,-1.7891,9.1918,22.6023,6.7419,16.3871,4.3240,13.5809,19.0705,0.3292,-11.2334,4.6275,2.7901,9.6177,4.4905,6.3590,9.8943,15.7819,-10.2597,19.2400
253.9062,0.7789,12.1046,20.5620,5.8237,11.9292,8.7145,26.9348,16.9855,3.1482,-6.7994,7.6837,2.8217,10.3667,6.7065,6.9593,11.9499,19.4656,-7.2057,18.6804
257.8125,4.6919,13.9892,18.1885,4.3104,8.5829,13.6819,33.4467,13.7271,6.9128,-1.8949,10.8790,2.9520,10.3676,7.7295,10.0549,14.2980,21.3765,-3.3175,16.8924
261.7188,7.2547,13.8592,14.8339,1.4887,7.4603,16.5239,26.9343,9.2414,9.0228,0.4823,11.7959,3.1494,9.3345,7.5020,12.6189,15.1077,20.7003,-1.1802,13.9179
265.6250,6.5851,11.4753,10.4772,-3.0169,7.5049,15.5401,8.2121,3.6698,7.6798,-1.3825,8.9802,3.3351,7.6808,6.2973,11.8709,13.1043,17.7684,-2.0347,10.3462
269.5312,3.0885,7.8802,6.5030,-8.3562,6.7120,11.2975,-14.2872,-2.1912,3.4162,-6.4716,3.3993,3.6510,6.3358,4.7244,7.8178,8.8571,13.8445,-4.7464,7.3542
273.4375,-0.6845,5.1682,5.2000,-12.5400,3.9747,6.4341,-29.0058,-6.9247,-0.9984,-11.4497,-1.8577,4.5366,6.1409,3.5039,3.3926,4.6578,10.3169,-6.5451,6.1681
277.3438,-1.7751,5.3885,8.1004,-13.5940,0.0742,4.0206,-28.2501,-9.1342,-2.3346,-12.7700,-3.6180,6.4157,7.2151,3.1135,2.0026,2.9577,7.8669,-5.0513,7.2287
281.2500,1.0625,9.1664,14.3642,-10.9863,-2.9385,5.5314,-13.0787,-8.2941,0.8400,-9.0451,-0.9550,9.1813,8.7442,3.5391,4.5320,4.5294,6.1947,-0.1056,9.6703
285.1562,6.3718,14.9852,20.6165,-6.2130,-3.4193,9.8058,7.2713,-5.1733,7.0380,-2.0132,3.9925,11.9399,9.3883,4.3308,8.3770,7.8087,4.4596,5.9718,11.5997
289.0625,10.8713,19.7751,22.6941,-1.9760,-1.4869,13.7488,21.1117,-1.4457,12.7089,4.5900,7.4387,13.3661,8.1040,4.9592,9.4300,9.9997,2.0798,9.9197,11.1398
292.9688,11.6121,20.6204,18.3112,-0.4181,1.0513,14.3491,21.3864,1.3301,14.5257,7.4650,6.6277,12.5491,4.8860,5.2368,5.4504,9.1629,-0.6930,9.7756,7.6395
296.8750,7.9325,16.5837,8.8156,-1.6384,2.1488,10.6800,9.4921,2.6869,11.5395,5.7970,1.7893,9.7655,0.9562,5.4922,-1.9544,5.7213,-2.8104,6.2063,2.2562
300.7812,1.8891,9.4519,-1.3087,-3.5845,1.1799,4.5493,-6.4244,3.4829,5.7462,1.5577,-4.0928,6.5565,-1.7574,6.3397,-8.4225,2.2466,-3.0184,2.0034,-2.5460
304.6875,-3.0789,2.8337,-7.0211,-3.4612,-0.5314,-0.6342,-17.1703,5.1888,0.7329,-2.0217,-7.5030,4.9271,-1.5960,8.1814,-10.1709,1.6683,-0.5962,0.1630,-4.3539
308.5938,-4.2876,0.0969,-5.7408,0.2988,-0.7573,-2.0146,-18.1856,8.6920,-0.6092,-2.6174,-6.9024,6.1110,1.9268,10.7939,-6.8840,5.2042,4.1967,1.9649,-2.2241
312.5000,-1.3092,2.4114,1.1874,6.8814,1.8259,0.9570,-11.5701,13.4608,2.2521,-0.0994,-3.6370,9.6985,7.7869,13.3238,-1.8273,11.4650,10.1671,6.3729,2.7128
316.4062,4.0636,8.1266,9.5098,13.5602,6.4949,6.2797,-3.6254,17.6984,7.4645,3.8078,-0.6422,13.7310,13.8698,14.7367,0.8663,17.2848,15.6328,11.0317,7.8538
320.3125,9.1742,13.8546,14.8042,17.4414,10.9170,10.7476,-0.1211,19.4415,12.2238,7.0020,-0.0520,15.7492,17.9441,14.4454,-0.5140,19.6172,19.0229,13.9588,10.5814
324.2188,12.1170,16.5416,15.0707,17.2611,12.8491,11.9278,-2.6945,17.8889,14.5304,8.3967,-1.6192,14.1728,18.7031,12.7036,-4.0723,17.2040,19.4167,14.6307,9.7026
328.1250,12.5328,15.1969,11.5225,14.0296,11.8022,9.4794,-8.5493,14.0492,14.0819,8.2673,-3.1340,9.1908,16.3621,10.5119,-6.1267,11.0529,16.8899,13.7841,6.0194
332.0312,11.2516,11.2257,7.2630,10.1933,9.4098,5.0646,-13.1061,10.2334,11.8994,7.5355,-2.4009,2.6662,12.5268,9.1040,-4.4442,3.6672,12.5776,12.3321,1.7381
335.9375,9.3204,7.2539,4.9788,8.0198,8.2415,1.0801,-13.3529,8.6911,9.2416,6.7944,0.8751,-2.8429,9.4113,9.3442,-0.1682,-2.2841,8.3714,10.4531,-0.8642
339.8438,7.2851,5.3020,5.3075,8.3578,9.9760,-0.8412,-9.5574,10.2661,6.7646,5.9393,4.8031,-5.3576,8.7937,11.3700,3.1399,-5.0482,6.2456,7.6398,-0.6694
343.7500,5.2121,5.5290,6.8706,10.5046,14.2847,-0.5985,-4.4987,13.9345,4.4955,4.6021,6.7994,-4.3564,11.2165,14.6061,2.5024,-4.2264,7.4011,3.5894,1.8693
347.6562,3.2169,6.3161,7.6868,13.0296,19.1760,0.6741,-1.1853,17.4957,2.4202,2.8352,5.6238,-0.8526,15.8015,18.0305,-1.9513,-0.6431,11.6226,-0.9475,5.2810
351.5625,1.8501,5.5455,6.7631,14.7723,22.4309,1.5653,-0.8654,18.9303,0.9904,1.3070,2.3505,3.2812,20.7383,20.4966,-7.0110,4.0958,17.2585,-4.2158,8.1282
355.4688,1.8890,2.1635,4.7140,15.2890,23.0041,1.2622,-2.6113,17.5369,1.0168,0.7811,-0.4289,6.3185,24.1729,21.0068,-8.8974,8.1815,21.9529,-4.4847,9.8268
359.3750,3.6904,-3.0067,3.1189,14.6261,21.4157,-0.1672,-4.4745,14.1638,3.0324,1.3662,-0.4715,7.4740,25.0364,18.9666,-6.1636,10.2265,23.8018,-1.2843,10.7397
363.2812,6.7147,-7.6917,3.2738,12.8699,19.0231,-2.0716,-5.1466,10.4903,6.7177,2.2768,2.6394,7.0978,23.4124,14.4490,-0.6511,9.7648,22.2868,4.1360,11.5957
367.1875,9.7308,-9.5031,5.3289,10.0025,16.9042,-3.7010,-4.8880,7.9316,10.9443,2.4086,7.4347,6.2166,20.3069,8.3577,4.1586,7.3569,18.4285,9.5094,12.7372
371.0938,11.6243,-7.3033,8.3734,6.1660,15.2535,-4.5000,-5.1447,6.9114,14.4482,1.2798,11.7684,5.7190,17.0035,2.2728,5.9119,4.1532,14.0781,12.8812,13.7702
375.0000,12.1763,-1.7719,11.2504,1.9664,13.6387,-4.1336,-7.2109,6.9067,16.5900,-0.4911,14.2166,5.6911,14.3922,-2.1382,4.9657,1.1473,10.8265,13.5659,13.8438
378.9062,12.1451,5.0873,13.3828,-1.6255,11.7151,-2.4427,-10.8991,7.0914,17.5698,-1.6505,14.6211,5.3293,12.6288,-3.9457,3.6035,-1.3344,9.2390,12.0847,12.3120
382.8125,12.5320,11.0821,14.9947,-3.8152,9.6872,0.4788,-14.1509,7.0251,17.9324,-1.3868,13.5870,3.5125,11.2581,-3.5286,3.7410,-3.4819,8.8539,9.2939,9.2646
386.7188,13.6055,14.8496,16.6524,-4.5293,8.1379,4.1181,-13.9502,6.8858,17.8188,-0.1221,11.6244,-0.3193,9.6599,-2.4233,5.1985,-5.3302,8.8174,5.5517,5.5422
390.6250,14.5039,16.1754,18.5697,-4.4405,7.4679,7.5216,-8.1315,7.1502,16.6577,0.6978,8.7922,-5.5680,7.5156,-2.4011,6.0194,-6.2576,8.5984,0.6596,2.2528
394.5312,13.8092,15.5752,20.2452,-4.3744,7.5268,9.5993,2.9096,8.0494,13.6319,-0.2834,5.0963,-10.6021,5.0313,-4.2884,4.4913,-5.2970,8.2522,-5.4226,0.1685
398.4375,10.6973,13.6005,20.6963,-4.5713,7.7922,9.6582,15.6801,9.2577,8.5785,-3.1904,1.1249,-13.5598,2.8408,-7.3176,1.0486,-2.1705,8.1355,-11.8118,-0.5629
402.3438,5.7663,10.4500,19.1022,-4.4714,7.9054,7.8204,24.7898,10.0486,2.5670,-6.6925,-1.8238,-13.3079,1.7034,-9.5177,-1.6473,1.8781,8.4428,-16.6910,-0.2317
406.2500,0.8451,6.1547,15.4095,-3.2770,8.0213,4.9962,25.5112,9.7769,-2.4111,-8.9223,-2.3723,-9.9144,2.1884,-8.9612,-0.6042,4.4850,9.0347,-18.2256,0.8742
410.1562,-2.1358,1.1068,10.5145,-0.8579,8.5980,2.3948,16.4344,8.3098,-4.5241,-8.8348,0.0216,-4.3574,4.4816,-5.0561,5.1356,3.9056,9.7065,-15.7650,2.7649
414.0625,-2.3924,-3.5886,5.9313,1.8053,9.7921,0.9011,0.6696,6.1005,-3.2150,-6.9281,4.6379,2.2267,8.3298,0.9974,13.5543,0.8875,10.5856,-10.3871,5.6447
417.9688,-0.7190,-6.3356,3.1440,3.1388,11.0375,0.7505,-15.3123,3.8884,0.4617,-4.7531,9.9246,9.1181,13.0774,6.9119,20.8792,-1.0423,12.1866,-4.3084,9.5131
421.8750,1.2152,-5.7832,2.9838,2.1604,11.2833,1.6882,-24.7956,2.2789,4.5413,-3.6140,14.4298,15.9642,17.7689,10.7005,24.0061,2.3591,14.9569,0.4482,13.8379
425.7812,2.1589,-1.5927,5.3202,-0.5698,9.8086,3.4091,-24.2429,1.5145,7.3965,-3.5136,17.4873,22.2435,21.3461,11.8067,22.3124,12.7624,18.6567,3.1745,17.6310
429.6875,2.1678,5.3122,9.1881,-3.0501,6.9861,5.8643,-15.0449,1.5579,8.6571,-3.1907,19.1727,26.8481,22.9585,11.2472,17.6411,27.1947,22.1725,4.6163,19.9376
433.5938,2.4322,13.2036,13.2727,-3.0287,4.3198,9.1615,-2.5232,2.3547,9.1950,-1.2121,19.7185,28.3352,22.3047,10.7489,12.6994,39.1110,24.0776,6.1221,20.3997
437.5000,4.2072,20.3968,16.5110,0.5274,3.6021,13.1642,7.2263,4.0134,10.2616,2.7679,19.0298,25.8102,19.8136,11.5399,9.2244,42.3052,23.6157,8.5149,19.4627
